,Borough,ZipCode,Block,Lot,BldgClassCategory,TotalNoOfUnits,LandAreaInSqFt,GrossAreaInSqFt,YearOfConstruction,TaxClass_AtEvaluationTime,BldgClass_AtEvaluationTime,PropertyEvaluationvalue,Property_Age,Evaluation_date,Evaluation_month
52,3,10306,4225,22,2,1,4000,1040,1941,1,2,585000,81,2907.0,10
53,3,10306,4192,10,2,1,7500,2961,1945,1,1,515000,77,3432.0,5
54,3,10306,4058,44,2,1,2673,1170,1956,1,5,530000,66,3015.0,7
55,3,10306,4055,5,2,1,2825,1600,1992,1,5,550000,30,3038.0,6
56,3,10306,4058,179,2,2,4275,2136,1956,1,10,770000,66,3010.0,7
57,3,10306,3612,34,2,1,8000,1552,1946,1,2,740000,76,2805.0,2
58,3,10306,4058,307,2,1,3780,1050,1951,1,2,552000,71,2961.0,9
59,3,10306,4239,35,2,1,5040,880,1960,1,2,405000,62,3705.0,8
60,3,10306,4240,29,2,1,4000,2786,1965,1,1,580000,57,3608.0,11
61,3,10306,4228,53,2,1,5000,1248,1946,1,2,658000,76,2876.0,11
62,3,10306,4237,51,2,1,3200,1058,1956,1,8,497500,66,2898.0,11
63,3,10306,4058,239,2,1,3906,1873,1956,1,2,560000,66,2917.0,10
64,3,10306,4240,14,2,1,4400,945,1956,1,2,425000,66,2953.0,9
65,3,10306,4246,45,2,1,2000,1200,1991,1,5,595000,31,2975.0,8
66,3,10306,4035,35,2,1,2323,1680,1995,1,1,650000,27,3096.0,4
67,3,10306,4226,10,2,1,4000,1144,1941,1,1,625000,81,3107.0,4
68,3,10306,4250,25,2,1,4600,900,1956,1,2,699900,66,2847.0,12
69,3,10306,4039,1,2,1,5000,864,1961,1,2,392000,61,3001.0,7
70,3,10306,4237,53,2,1,3300,1058,1956,1,8,475000,66,2784.0,3
71,3,10306,4254,20,2,2,4500,1728,1965,1,9,535000,57,3592.0,12
72,3,10306,3646,37,2,1,4000,980,1960,1,2,225000,62,3502.0,3
73,3,10306,4033,36,2,1,2000,1200,1990,1,5,550000,32,3004.0,7
74,3,10306,3960,125,2,2,1820,1300,2001,1,12,665000,21,2998.0,7
75,3,10306,3960,129,2,2,1750,1300,2001,1,12,648888,21,2805.0,2
76,3,10306,4031,88,2,2,1247,1360,1995,1,12,490000,27,3044.0,6
77,3,10306,4054,36,2,1,2500,1280,2002,1,5,560000,20,2981.0,8
78,3,10306,4229,307,2,1,89120,1265,1984,1,25,150000,38,3068.0,5
79,3,10306,4058,255,2,1,3906,1873,1956,1,2,675000,66,3040.0,6
80,3,10306,4218,43,2,2,3700,1900,2001,1,10,950000,21,2793.0,2
81,3,10306,4231,30,2,2,4750,1596,1946,1,10,750000,76,3100.0,4
82,3,10306,4242,32,2,2,6088,2624,1961,1,10,900000,61,2918.0,10
83,3,10306,4245,68,2,2,8000,1112,1951,1,11,860000,71,2863.0,12
84,3,10306,4251,60,2,2,3000,1200,1989,1,12,655000,33,2841.0,1
85,3,10306,4253,39,2,2,4480,2300,1961,1,10,837500,61,3001.0,7
86,3,10306,3643,50,2,1,6000,1170,1946,1,2,810000,76,2885.0,11
87,3,10306,3644,60,2,1,4009,1295,1941,1,0,678000,81,2816.0,1
88,3,10306,4229,307,2,1,89120,638,1984,1,25,220000,38,3094.0,4
89,3,10306,4041,19,2,2,3686,2191,2012,1,12,572765,10,3396.0,6
90,3,10306,4047,44,2,2,5050,2538,1965,1,9,325000,57,3647.0,10
91,3,10306,3606,35,2,2,2400,2576,1978,1,9,499900,44,3490.0,3
92,3,10306,4339,29,2,1,3640,1500,1961,1,1,550000,61,2784.0,3
93,3,10306,3960,124,2,2,1820,1300,2001,1,12,668000,21,2961.0,9
94,3,10306,4051,45,2,2,3880,1600,1960,1,10,545000,62,3643.0,10
95,3,10306,3639,31,2,1,4000,1120,1946,1,2,610000,76,2932.0,10
96,3,10306,4246,51,2,1,5000,1105,1950,1,2,420000,72,3656.0,10
97,3,10306,4250,46,2,1,4600,1174,1960,1,2,519200,62,3602.0,12
98,3,10306,4215,17,2,2,6375,1385,1946,1,11,650000,76,2917.0,10
99,3,10306,4052,34,2,1,2500,1170,1966,1,5,540000,56,3032.0,6
100,3,10306,3629,33,2,2,17790,17022,1946,4,25,5800000,76,2863.0,12
101,3,10306,3616,12,2,1,6000,1236,1941,1,1,700000,81,2997.0,7
102,3,10306,4232,30,2,1,5200,960,1946,1,2,660000,76,2981.0,8
103,3,10306,4037,39,2,1,2849,1280,1995,1,1,520000,27,2941.0,9
104,3,10306,3636,78,2,1,2000,1316,1982,1,5,420000,40,3482.0,4
105,3,10306,3636,34,2,2,5529,3320,1956,1,10,870000,66,2814.0,1
106,3,10306,4222,42,2,1,4000,2399,1945,1,1,722957,77,3509.0,3
107,3,10306,4051,113,2,1,3549,960,1956,1,2,325000,66,2879.0,11
108,3,10306,4247,1,2,2,5550,3000,1977,1,25,750000,45,2935.0,10
109,3,10306,4249,46,2,1,4000,1040,1956,1,2,562500,66,2940.0,9
110,3,10306,3633,29,2,1,2640,1568,1956,1,1,564000,66,3081.0,5
111,3,10306,4058,304,2,1,3999,1873,1960,1,2,450000,62,3641.0,10
112,3,10306,3648,16,2,2,6000,1500,1941,1,10,540000,81,2876.0,11
113,3,10306,4246,46,2,1,2000,1200,1991,1,5,525000,31,3012.0,7
114,3,10306,4231,22,2,1,5320,1350,1950,1,2,330000,72,3565.0,1
115,3,10306,4052,39,2,1,4750,960,1956,1,2,560000,66,3094.0,4
116,3,10306,3625,35,2,2,3750,2838,2006,1,10,632500,16,3721.0,8
117,3,10306,3637,26,2,2,15100,6742,1947,4,25,1225000,75,3584.0,12
118,3,10306,3617,18,2,1,4000,952,1955,1,2,320000,67,3504.0,3
119,3,10306,3556,66,2,1,2625,1200,1956,1,8,575000,66,2892.0,11
120,3,10306,3557,11,2,1,4500,720,1951,1,2,316000,71,2933.0,10
121,3,10306,3531,52,2,1,4000,900,1946,1,2,445000,76,2837.0,1
122,3,10306,3579,16,2,2,9750,2144,1950,1,9,565000,72,3409.0,6
123,3,10306,3559,69,2,1,2100,1825,1993,1,5,542017,29,2890.0,11
124,3,10306,3563,17,2,2,4000,1824,1951,1,10,850000,71,2899.0,11
125,3,10306,3556,58,2,1,2625,1200,1956,1,8,560000,66,2947.0,9
126,3,10306,3559,56,2,1,2875,1680,1960,1,8,342000,62,3689.0,9
127,3,10305,3343,80,2,1,2500,2311,1997,1,5,485000,25,3392.0,7
128,3,10306,3559,41,2,1,2968,1332,1966,1,8,555000,56,2820.0,1
129,3,10306,3568,3,2,1,4000,1400,1971,1,1,830000,51,2906.0,10
130,3,10306,895,45,2,1,18607,2840,2007,1,3,685000,15,3412.0,6
131,3,10306,3531,52,2,1,4000,900,1950,1,2,160000,72,3600.0,12
132,3,10304,3321,48,2,1,2000,1408,1997,1,5,425000,25,3460.0,4
133,3,10306,3608,39,2,1,5544,1464,1955,1,0,387500,67,3403.0,6
134,3,10304,3531,67,2,1,1185,1300,1985,1,5,499999,37,2774.0,3
135,3,10306,3572,53,2,1,4000,1529,1966,1,2,640000,56,3022.0,7
136,3,10306,3581,9,2,1,3564,1700,1985,1,5,436020,37,3087.0,5
137,3,10306,3581,9,2,1,3564,1700,1985,1,5,583000,37,2900.0,11
138,3,10306,3559,63,2,1,5750,1120,1956,1,2,470000,66,2995.0,8
139,3,10305,3543,307,2,1,65497,701,1982,2,25,279400,40,2835.0,1
140,3,10304,895,9,2,1,7140,2200,1960,1,2,595000,62,3500.0,3
141,3,10306,3609,7,2,1,6000,1231,1951,1,0,662500,71,3116.0,4
142,3,10305,3543,307,2,1,65497,798,1982,2,25,299000,40,2976.0,8
143,3,10305,3540,36,2,1,2044,912,1965,1,5,307000,57,3690.0,9
144,3,10305,3538,200,2,1,3600,880,1956,1,2,610000,66,2765.0,3
145,3,10306,3535,36,2,1,2419,1312,1956,1,5,354900,66,2878.0,11
146,3,10306,3592,72,2,1,1751,350,1946,4,25,261000,76,3074.0,5
147,3,10304,3531,16,2,1,2000,1200,2000,1,5,577000,22,2898.0,11
148,3,10305,3540,33,2,1,2044,912,1961,1,5,535000,61,2949.0,9
149,3,10306,3614,40,2,1,2400,2000,2001,1,5,440000,21,3606.0,11
150,3,10305,3549,78,2,1,1095,1375,1989,1,5,338000,33,3462.0,4
151,3,10305,3539,16,2,1,2323,936,1961,1,8,529000,61,3065.0,5
152,3,10306,3572,24,2,1,5000,1056,1946,1,2,550000,76,2925.0,10
153,3,10306,3563,26,2,1,4000,1008,1951,1,2,410000,71,2870.0,12
154,3,10304,895,38,2,1,9200,3360,1976,1,3,1500000,46,3059.0,5
155,3,10304,3306,60,2,2,3750,2952,2011,1,10,600000,11,3698.0,8
156,3,10306,3560,68,2,1,4783,1596,1956,1,1,690000,66,3067.0,5
157,3,10306,3556,53,2,1,2625,1200,1956,1,5,585000,66,2998.0,7
158,3,10306,3587,24,2,1,1806,1050,1986,1,5,539000,36,2833.0,1
159,3,10306,3556,16,2,1,600,1200,1960,1,8,352000,62,3706.0,8
160,3,10306,3556,57,2,1,2625,1200,1956,1,8,541000,66,3108.0,4
161,3,10305,3536,174,2,1,5012,2164,1951,1,1,870000,71,2946.0,9
162,3,10306,3566,22,2,2,6000,2481,1960,1,9,675000,62,3438.0,5
163,3,10306,3553,72,2,1,4850,912,1955,1,2,388310,67,3392.0,7
164,3,10305,3539,72,2,1,2323,936,1961,1,5,535000,61,2952.0,9
165,3,10306,3554,15,2,1,2144,1500,1997,1,5,430000,25,3445.0,5
166,3,10306,4057,35,2,1,3240,1680,1976,1,5,370110,46,3111.0,4
167,3,10306,4089,72,2,1,2800,1300,1980,1,5,325000,42,3697.0,8
168,3,10306,4091,6,2,1,2220,1250,1997,1,5,569000,25,2806.0,2
169,3,10306,4073,76,2,1,2400,2008,1979,1,5,620000,43,2856.0,12
170,3,10306,4043,12,2,1,2120,1700,2001,1,5,390390,21,2967.0,8
171,3,10306,4131,28,2,2,1986,2275,1993,1,12,625000,29,2844.0,12
172,3,10306,4071,163,2,1,1300,1040,1986,1,5,283920,36,3054.0,6
173,3,10306,4049,85,2,2,6200,1800,1960,1,10,285000,62,3556.0,1
174,3,10306,4073,80,2,1,2400,2008,1979,1,5,640000,43,2932.0,10
175,3,10306,4108,27,2,1,2262,1900,1999,1,5,553000,23,2904.0,11
176,3,10306,4081,33,2,1,2400,1048,1941,1,2,370000,81,2885.0,11
177,3,10306,4045,21,2,1,6720,1776,1941,1,1,740000,81,2955.0,9
178,3,10306,4056,68,2,1,2262,1600,1986,1,5,555000,36,2857.0,12
179,3,10306,4074,33,2,2,4000,2063,1983,1,10,455000,39,3649.0,10
180,3,10306,4070,95,2,1,2400,2008,1976,1,5,650000,46,2855.0,12
181,3,10306,4046,22,2,2,4000,2112,1951,1,11,515000,71,2925.0,10
182,3,10306,4130,307,2,2,4280,2052,1961,1,11,695250,61,3050.0,6
183,3,10306,4073,81,2,1,2400,2008,1979,1,5,565000,43,2834.0,1
184,3,10306,4049,62,2,1,4400,1100,1961,1,2,200000,61,2925.0,10
185,3,10306,4081,68,2,1,2400,822,2012,1,1,422000,10,2952.0,9
186,3,10306,4068,1,2,1,5500,960,1956,1,2,610000,66,2793.0,2
187,3,10306,4071,82,2,1,1162,1270,1988,1,5,487000,34,2879.0,11
188,3,10306,4088,32,2,2,3650,1900,2001,1,10,772000,21,3002.0,7
189,3,10306,4057,69,2,1,940,1080,1976,1,5,390000,46,2830.0,1
190,3,10306,4108,28,2,1,1638,1900,1999,1,5,375000,23,2980.0,8
191,3,10306,4089,5,2,1,1760,1600,1977,1,5,435000,45,3096.0,4
192,3,10306,4131,20,2,2,1479,2275,1993,1,12,608000,29,3068.0,5
193,3,10306,4069,19,2,1,4000,1040,1956,1,2,422400,66,3109.0,4
194,3,10306,4089,55,2,1,2520,1600,1978,1,5,592000,44,3033.0,6
195,3,10306,4068,59,2,1,2200,1200,1997,1,5,412571,25,2962.0,9
196,3,10306,4063,43,2,1,2535,1280,1974,1,5,455000,48,2997.0,7
197,3,10306,4056,65,2,1,2853,1370,2012,1,5,395460,10,3473.0,4
198,3,10306,4073,69,2,1,2548,2008,1979,1,5,619000,43,2855.0,12
199,3,10306,4131,28,2,2,1986,2275,1993,1,12,460000,29,3016.0,7
200,3,10306,4081,44,2,1,2400,921,1946,1,2,330000,76,2756.0,3
201,3,10306,4467,10,2,1,7560,2093,1960,1,2,423000,62,3608.0,11
202,3,10306,2259,52,2,1,5834,4000,2011,1,3,997885,11,3578.0,12
203,3,10306,4332,113,2,1,5000,1075,1961,1,2,615800,61,3017.0,7
204,3,10306,4346,1,2,1,4850,1222,1956,1,2,665000,66,2954.0,9
205,3,10306,4332,95,2,1,4730,1125,1956,1,2,610000,66,2904.0,11
206,3,10306,2259,12,2,1,17100,3430,2005,1,3,503870,17,3073.0,5
207,3,10306,4377,18,2,1,4173,1056,1956,1,2,630000,66,2973.0,8
208,3,10306,4331,16,2,1,11650,2448,1981,1,8,665000,41,3404.0,6
209,3,10306,4413,23,2,1,6000,2160,1961,1,1,739000,61,2910.0,10
210,3,10306,4416,12,2,1,4500,1776,1961,1,1,712500,61,2954.0,9
211,3,10306,4399,86,2,2,4243,2184,1961,1,10,775000,61,3064.0,5
212,3,10306,4347,136,2,1,868,900,1990,1,5,419000,32,2899.0,11
213,3,10306,4419,60,2,1,4300,1104,1951,1,2,697000,71,2826.0,1
214,3,10306,2244,19,2,1,5000,2600,1996,1,1,1035000,26,3075.0,5
215,3,10306,4428,45,2,1,4000,2016,1960,1,1,484000,62,3697.0,8
216,3,10306,4417,19,2,1,4022,1816,1956,1,2,435000,66,2892.0,11
217,3,10306,4327,124,2,2,4400,1880,1966,1,10,692410,56,2800.0,2
218,3,10306,4399,289,2,1,4774,1092,1951,1,2,650000,71,2970.0,8
219,3,10306,4378,52,2,1,4167,1352,1961,1,1,740000,61,2967.0,8
220,3,10306,4400,9,2,1,4003,960,1956,1,2,630000,66,2771.0,3
221,3,10306,4468,31,2,1,5562,3650,1999,1,1,650000,23,3487.0,3
222,3,10306,4470,144,2,1,5916,2200,1989,1,1,870000,33,3086.0,5
223,3,10306,2280,10,2,1,7360,3019,2011,1,3,1300000,11,2990.0,8
224,3,10306,4421,215,2,1,4800,1056,1961,1,2,755000,61,2816.0,1
225,3,10306,4330,12,2,1,6032,2800,2000,1,1,1350000,22,2933.0,10
226,3,10306,4416,56,2,1,4721,1040,1955,1,2,425000,67,3493.0,3
227,3,10306,4430,46,2,1,7012,2088,1966,1,1,750000,56,3051.0,6
228,3,10306,4429,5,2,1,12000,3832,1988,1,3,675000,34,3592.0,12
229,3,10306,2245,6,2,1,10000,3800,1950,1,3,1465000,72,3600.0,12
230,3,10306,4396,34,2,2,4674,2338,1961,1,10,815000,61,3080.0,5
231,3,10306,4347,116,2,1,700,1050,1989,1,5,318000,33,2976.0,8
232,3,10306,2279,37,2,1,4000,2000,1988,1,2,550000,34,2998.0,7
233,3,10306,4435,20,2,1,6555,2732,1965,1,2,417000,57,3397.0,6
234,3,10306,4409,16,2,1,5000,1660,1966,1,1,740000,56,2774.0,3
235,3,10306,2244,14,2,1,5000,2800,2004,1,1,915000,18,3620.0,11
236,3,10306,4399,24,2,1,5377,1208,1955,1,2,470000,67,3703.0,8
237,3,10306,2272,50,2,1,15480,3472,2005,1,3,1600000,17,3058.0,5
238,3,10306,4400,41,2,1,4000,1920,1956,1,1,917500,66,2848.0,12
239,3,10306,4409,5,2,1,3800,2211,1965,1,1,580000,57,3671.0,9
240,3,10306,2279,39,2,1,6000,3134,1993,1,1,630000,29,3500.0,3
241,3,10306,4435,30,2,1,6825,4278,2000,1,3,965000,22,3382.0,7
242,3,10306,4438,92,2,1,8287,2700,1998,1,3,867000,24,3418.0,6
243,3,10306,4347,70,2,2,4439,2320,1971,1,10,865000,51,2906.0,10
244,3,10306,4375,57,2,1,4280,960,1956,1,2,638000,66,3030.0,6
245,3,10306,4374,18,2,1,4000,2178,1956,1,2,655000,66,3096.0,4
246,3,10306,951,21,2,1,13474,5165,2011,1,3,967337,11,3399.0,6
247,3,10306,4370,102,2,2,4000,2200,1966,1,10,900000,56,3095.0,4
248,3,10306,4370,88,2,2,4000,2200,1970,1,10,605000,52,3409.0,6
249,3,10306,4338,3,2,1,3088,1280,1961,1,5,550000,61,3109.0,4
250,3,10306,4370,10,2,2,4000,1880,1966,1,10,825000,56,2813.0,1
251,3,10306,939,163,2,1,6000,1020,1955,1,2,450000,67,3510.0,3
252,3,10306,4310,142,2,1,4000,1299,1951,1,0,430000,71,3047.0,6
253,3,10306,4349,12,2,1,3536,1600,1965,1,5,420000,57,3438.0,5
254,3,10306,952,111,2,2,11514,2360,1966,1,10,1175000,56,3002.0,7
255,3,10306,4363,65,2,2,3600,2264,1971,1,10,630000,51,2989.0,8
256,3,10306,939,240,2,1,6084,3741,1965,1,3,710000,57,3433.0,5
257,3,10305,951,27,2,1,6302,3892,2011,1,1,935000,11,3683.0,9
258,3,10306,4309,28,2,1,2500,1356,1999,1,5,440000,23,3417.0,6
259,3,10306,939,156,2,1,8000,900,1951,1,0,800000,71,2815.0,1
260,3,10306,4349,6,2,1,3016,1600,1961,1,5,590000,61,2826.0,1
261,3,10306,4312,307,2,1,54042,964,1983,1,25,318000,39,2945.0,9
262,3,10306,4310,140,2,1,4000,1319,1951,1,1,485000,71,2932.0,10
263,3,10306,4316,83,2,1,2432,1200,1966,1,5,375000,56,2948.0,9
264,3,10306,4364,32,2,1,2846,1600,1956,1,5,520000,66,2837.0,1
265,3,10306,4359,46,2,1,4186,1292,1960,1,8,440000,62,3446.0,5
266,3,10306,4305,38,2,1,3800,2132,1965,1,1,549000,57,3584.0,12
267,3,10306,939,179,2,1,4560,2065,1965,1,2,527000,57,3608.0,11
268,3,10306,946,8,2,1,4880,3928,2005,1,1,840000,17,3549.0,1
269,3,10306,942,102,2,1,6800,1684,1950,1,0,450000,72,3444.0,5
270,3,10306,4363,39,2,1,2475,1156,1961,1,5,530000,61,2980.0,8
271,3,10306,4363,90,2,1,2800,1900,1961,1,5,572000,61,2815.0,1
272,3,10306,946,9,2,1,4870,4182,2005,1,1,413000,17,3600.0,12
273,3,10306,952,191,2,1,7797,1853,1960,1,8,530000,62,3508.0,3
274,3,10306,4363,65,2,2,3600,2264,1971,1,10,710000,51,2864.0,12
275,3,10306,4302,133,2,1,890,1479,1985,1,5,359000,37,2889.0,11
276,3,10306,4304,11,2,1,4000,1460,1966,1,1,715000,56,2987.0,8
277,3,10306,4312,307,2,1,54042,964,1983,1,25,315000,39,2921.0,10
278,3,10306,4371,36,2,2,4000,2040,1970,1,10,630000,52,3454.0,4
279,3,10306,4370,104,2,2,4000,2244,1966,1,25,820000,56,2961.0,9
280,3,10306,4316,78,2,1,2400,1280,1970,1,5,310000,52,3595.0,12
281,3,10306,4316,63,2,1,2700,1400,1961,1,5,565000,61,3022.0,7
282,3,10306,951,4,2,1,5293,2564,2010,1,3,1150000,12,3026.0,7
283,3,10306,4343,15,2,1,2625,1190,1956,1,5,420000,66,2976.0,8
284,3,10306,4349,27,2,1,3952,1600,1961,1,5,457314,61,2799.0,2
285,3,10308,5476,49,2,2,2575,1440,1971,1,12,509125,51,3040.0,6
286,3,10308,5299,80,2,2,3042,1981,2002,1,12,683000,20,2921.0,10
287,3,10308,5460,307,2,1,152741,816,1980,1,25,335000,42,3086.0,5
288,3,10306,4478,307,2,1,500,1240,1996,1,5,275000,26,3679.0,9
289,3,10306,4645,150,2,2,2540,1900,1992,1,12,640000,30,2869.0,12
290,3,10306,4478,307,2,1,946,1364,1988,1,5,220000,34,3577.0,12
291,3,10308,5447,91,2,2,2678,1200,1997,1,10,630000,25,2849.0,12
292,3,10308,4500,195,2,1,2000,1458,1980,1,5,539000,42,3029.0,6
293,3,10306,4645,65,2,2,5167,3213,1999,1,12,480000,23,3493.0,3
294,3,10308,5491,277,2,1,2352,1680,1970,1,8,390000,52,3692.0,9
295,3,10306,5030,58,2,1,3000,1420,1984,1,5,560000,38,2875.0,11
296,3,10306,4478,307,2,1,688,1056,1984,1,5,417150,38,2854.0,12
297,3,10306,5029,8,2,2,4920,2444,1965,1,10,511000,57,3430.0,5
298,3,10312,5289,52,2,2,4140,1966,1951,1,10,750000,71,2757.0,3
299,3,10308,5447,119,2,1,4115,1240,1988,1,5,503000,34,3081.0,5
300,3,10306,4645,127,2,2,1951,3276,1996,1,12,405000,26,3486.0,3
301,3,10308,5457,124,2,1,3333,1080,1960,1,8,415000,62,3466.0,4
302,3,10312,5528,29,2,1,2375,1490,1977,1,5,385000,45,3454.0,4
303,3,10308,5459,54,2,1,2700,880,1971,1,5,475000,51,2966.0,8
304,3,10312,5297,13,2,1,4000,1630,1951,1,2,382500,71,2885.0,11
305,3,10312,5287,31,2,1,2080,1242,1991,1,5,534500,31,3002.0,7
306,3,10312,5532,48,2,2,2375,1386,1992,1,12,648888,30,2813.0,1
307,3,10308,4500,220,2,1,1500,1350,1982,1,5,465000,40,3066.0,5
308,3,10306,4447,97,2,1,1668,1320,1982,1,5,409999,40,2969.0,8
309,3,10308,5448,24,2,1,3000,1312,1966,1,8,590000,56,2890.0,11
310,3,10308,4602,25,2,2,4268,2376,1967,1,10,545000,55,3444.0,5
311,3,10312,5266,29,2,2,4333,3070,2004,1,10,750000,18,3677.0,9
312,3,10308,5483,43,2,1,2424,1480,1966,1,8,530000,56,2934.0,10
313,3,10306,4478,307,2,1,500,1240,1992,1,5,275000,30,3053.0,6
314,3,10308,5455,55,2,1,6000,1680,1956,1,1,710000,66,2918.0,10
315,3,10308,5195,11,2,1,2350,1500,1996,1,5,610000,26,2787.0,2
316,3,10306,4478,307,2,1,946,1364,1987,1,5,262000,35,3395.0,6
317,3,10308,5447,154,2,1,972,1798,1986,1,5,370000,36,2947.0,9
318,3,10308,4589,3,2,1,1170,1438,1985,1,5,429000,37,2941.0,9
319,3,10306,4447,43,2,1,960,1152,1982,1,5,375000,40,3102.0,4
320,3,10308,5452,9,2,1,2430,1422,1965,1,8,377000,57,3377.0,7
321,3,10308,5454,24,2,1,2500,960,1961,1,8,519000,61,3030.0,6
322,3,10306,4477,103,2,1,2806,1504,1986,1,5,335000,36,3648.0,10
323,3,10308,4500,77,2,1,3100,1860,1974,1,2,550000,48,3002.0,7
324,3,10308,5459,11,2,1,2300,1540,1975,1,8,304200,47,3447.0,5
325,3,10308,4580,30,2,1,3400,1080,1966,1,5,225000,56,3108.0,4
326,3,10312,5293,18,2,2,4375,1920,1990,1,12,755000,32,3037.0,6
327,3,10306,4447,103,2,2,1662,864,1982,1,12,405000,40,2903.0,11
328,3,10308,4575,144,2,1,2100,1592,1981,1,5,229350,41,3086.0,5
329,3,10308,4588,47,2,1,7000,3790,1951,1,1,970000,71,2890.0,11
330,3,10308,5442,307,2,1,2921,1472,1972,1,8,489000,50,3068.0,5
331,3,10308,4574,56,2,1,4000,1880,1965,1,1,520000,57,3532.0,2
332,3,10306,4478,307,2,1,500,1240,1996,1,5,280000,26,3494.0,3
333,3,10306,4477,54,2,1,500,1150,1989,1,5,410000,33,2819.0,1
334,3,10308,5200,9,2,1,2592,1410,1980,1,5,360000,42,3686.0,9
335,3,10306,4477,63,2,1,500,1150,1987,1,5,302000,35,2897.0,11
